Promotion Code,Entitlement Category,,,,,,,,,,,,,,,,,,,Initial Allocation Amount,Recurring Allocation Amount,Entitlement Validity Period,Entitlement Validity Period Unit,Prorate Method,Prepaid Creation GL Code,Prepaid Consumption GL Code,Prepaid Expiry GL Code,Recurring Period,Recurring Period Unit,Allocation Validity Period,Allocation Validity Period Unit,Postpaid Creation GL Code,Postpaid Consumption GL Code,Postpaid Expiry GL Code,Invoice Message Code,,,,,Description
Select Markets $25 Off x 6 Months,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,25,6,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$25/month off select plans x 6 months; starts 2nd bill
Select Markets $32.50 Off x 6 Months,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,32.5,6,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$32.50/month off select plans x 6 months; starts 2nd bill
750MB Bonus Nationwide Data,Data Policy-Freedom,,,,,,,,,,,,,,,,,,,,750,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get an additional 750MB of Freedom Nationwide data each month.
3GB Bonus Nationwide Data,Data Policy-Freedom,,,,,,,,,,,,,,,,,,,,3072,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get an additional 3GB of Freedom Nationwide data each month.
D1E 10GB FN+US Data - HWU,Data Policy-Freedom and Nationwide + US,,,,,,,,,,,,,,,,,,,,10240,999,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get an extra 10GB per month of Freedom Nationwide + U.S. data
Bonus 20GB x 6 Months Freedom Nationwide + U.S. Data,Data Policy-Freedom and Nationwide + US,,,,,,,,,,,,,,,,,,,,20480,6,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get an extra 20GB per month of Freedom Nationwide + U.S. data for 6 months
Bonus 30GB x 6 Months Freedom Nationwide + U.S. Data,Data Policy-Freedom and Nationwide + US,,,,,,,,,,,,,,,,,,,,30720,6,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get an extra 20GB per month of Freedom Nationwide + U.S. data for 6 months
W10 Winback $10 off,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,10,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$10 off on select plans
W15 Winback $15 off,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,15,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$15 off on select plans
Eligible port-in only - bonus 9GB Freedom Nationwide data,Data Policy-Freedom,,,,,,,,,,,,,,,,,,,,9216,999,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get Bonus 2GB Nationwide Data on select plans
Samsung Double Storage Offer $80,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,3.34,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$3.34/mo. credit x 24 mo. with S24 256GB - credits start on 2nd bill
Samsung Double Storage Offer $80 - HWU,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,3.34,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$3.34/mo. credit x 24 mo. with S24 256GB - credits start on 2nd bill
Samsung Double Storage Offer $160,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,6.67,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$6.67/mo. credit x 24 mo. with S24+/S24 Ultra 512GB - credits start on 2nd bill
Samsung Double Storage Offer $160 - HWU,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,6.67,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$6.67/mo. credit x 24 mo. with S24+/S24 Ultra 512GB - credits start on 2nd bill
Save $600 with 2 Galaxy S24 series phones on MyTab,Monthly MyTab Charge Credit,,,,,,,,,,,,,,,,,,,,25,24,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Monthly Tab Discount Promo,,,,,$20 credit x 24 mo on 2nd phone; select plans; starts 2nd bill. One per account.
Save $600 with 2 Galaxy S24 series phones on MyTab - HWU,Monthly MyTab Charge Credit,,,,,,,,,,,,,,,,,,,,25,24,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Monthly Tab Discount Promo,,,,,$20 credit x 24 mo on 2nd phone; select plans; starts 2nd bill. One per account.
$75 Service Credit Offer,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,15,5,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$15/mo. credit x 5 mo. with select phone - credits start on 2nd bill
